2026-03-18 01:55:09 | Controller: IceCream | Action: Get | User: noa | Duration: 0ms
2026-03-18 01:55:09 | Controller: IceCream | Action: Get | User: noa | Duration: 1ms
2026-03-18 01:55:09 | Controller: IceCream | Action: Get | User: noa | Duration: 1ms
2026-03-18 01:55:17 | Controller: IceCream | Action: Create | User: noa | Duration: 11ms
2026-03-18 01:55:17 | Controller: IceCream | Action: Get | User: noa | Duration: 1ms
2026-03-18 01:55:17 | Controller: IceCream | Action: Get | User: noa | Duration: 0ms
2026-03-18 01:55:17 | Controller: IceCream | Action: Get | User: noa | Duration: 0ms
2026-03-18 01:55:28 | Controller: IceCream | Action: Update | User: noa | Duration: 3ms
2026-03-18 01:55:28 | Controller: IceCream | Action: Get | User: noa | Duration: 1ms
2026-03-18 01:55:28 | Controller: IceCream | Action: Get | User: noa | Duration: 1ms
2026-03-18 01:55:28 | Controller: IceCream | Action: Get | User: noa | Duration: 1ms
2026-03-18 01:55:31 | Controller: IceCream | Action: Delete | User: noa | Duration: 17ms
2026-03-18 01:55:31 | Controller: IceCream | Action: Get | User: noa | Duration: 0ms
2026-03-18 01:55:31 | Controller: IceCream | Action: Get | User: noa | Duration: 1ms
2026-03-18 01:55:31 | Controller: IceCream | Action: Get | User: noa | Duration: 1ms
2026-03-18 01:54:54 | Controller: StaticFile | Action: GET | User: noa | Duration: 80831ms
2026-03-18 13:51:50 | Controller: StaticFile | Action: GET | User: Guest | Duration: 0ms
2026-03-18 13:51:58 | Controller: User | Action: Login | User: Guest | Duration: 878ms
2026-03-18 13:52:00 | Controller: StaticFile | Action: POST | User: admin | Duration: 59ms
2026-03-18 13:52:08 | Controller: IceCream | Action: Create | User: admin | Duration: 220ms
2026-03-18 13:52:22 | Controller: IceCream | Action: Create | User: admin | Duration: 66ms
2026-03-18 13:52:00 | Controller: StaticFile | Action: GET | User: admin | Duration: 27198ms
2026-03-18 13:52:27 | Controller: StaticFile | Action: POST | User: admin | Duration: 28ms
2026-03-18 13:52:27 | Controller: User | Action: Get | User: admin | Duration: 103ms
2026-03-18 13:52:49 | Controller: User | Action: Create | User: admin | Duration: 115ms
2026-03-18 13:52:49 | Controller: User | Action: Get | User: admin | Duration: 97ms
2026-03-18 13:52:49 | Controller: User | Action: Get | User: admin | Duration: 74ms
2026-03-18 13:53:02 | Controller: User | Action: Update | User: admin | Duration: 111ms
2026-03-18 13:53:02 | Controller: User | Action: Get | User: admin | Duration: 97ms
2026-03-18 13:53:02 | Controller: User | Action: Get | User: admin | Duration: 61ms
2026-03-18 13:52:27 | Controller: StaticFile | Action: GET | User: admin | Duration: 42711ms
